,for_date,data_source,abbreviation,unit_type,address,city,state,zip_code,bedrooms,bathrooms,listing_date,sqft,price_sqft,distance,ingest_time
49,2022-01-17,rentcast,as185,27201-B1,5625 Signal Pt,Austin,TX,78724,2.0,"1,080",2021-11-15,Single Family,1.482,1.05,2022-01-18 00:44:58.587340
50,2022-01-17,rentcast,as185,27201-B1,5912 Pinon Vista Dr,Austin,TX,78724,2.0,"1,230",2021-12-06,Single Family,1.952,1.09,2022-01-18 00:44:58.587340
51,2022-01-17,rentcast,as185,27201-B1,10709 Fm 969 Rd,Austin,TX,78724,2.5,"1,892",2021-10-27,Single Family,1.452,1.41,2022-01-18 00:44:58.587340
52,2022-01-17,rentcast,as185,27201-B1,5407 Garden View Cv,Austin,TX,78724,2.0,"1,131",2021-07-01,Single Family,1.462,1.73,2022-01-18 00:44:58.587340
53,2022-01-17,rentcast,as185,27201-B1,5520 Toscana Ave,Austin,TX,78724,2.0,"1,289",2022-01-11,Single Family,1.472,0.98,2022-01-18 00:44:58.587340
54,2022-01-17,rentcast,as185,27201-B1,5604 Pinon Vista Dr,Austin,TX,78724,2.0,"1,320",2021-09-09,Single Family,1.212,1.05,2022-01-18 00:44:58.587340
55,2022-01-17,rentcast,as185,27201-B1,5913 Alsace Trl,Austin,TX,78724,2.0,"1,306",2022-01-11,Single Family,1.302,1.14,2022-01-18 00:44:58.587340
56,2022-01-17,rentcast,as185,27201-B1,5513 Nelson Oaks Dr,Austin,TX,78724,2.0,"1,509",2021-08-15,Single Family,1.462,0.37,2022-01-18 00:44:58.587340
57,2022-01-17,rentcast,as185,27201-B1,5613 Nelson Oaks Dr,Austin,TX,78724,2.0,"1,509",2021-07-10,Single Family,1.462,0.39,2022-01-18 00:44:58.587340
58,2022-01-17,rentcast,as185,27201-B1,6016 Signal Pt,Austin,TX,78724,2.0,"1,320",2022-01-11,Single Family,1.292,1.17,2022-01-18 00:44:58.587340
59,2022-01-17,rentcast,as185,27201-B1,6025 Signal Pt,Austin,TX,78724,2.0,"1,320",2021-11-09,Single Family,1.282,1.18,2022-01-18 00:44:58.587340
60,2022-01-17,rentcast,as185,27201-B2,4710 Little Hill Cir,Austin,TX,78725,2.0,"1,294",2021-06-22,Single Family,1.652,1.64,2022-01-18 00:44:58.587340
61,2022-01-17,rentcast,as185,27201-B2,"8403 Colony Loop Dr, Apt B",Austin,TX,78724,2.0,"1,020",2022-01-06,Single Family,1.132,1.32,2022-01-18 00:44:58.587340
62,2022-01-17,rentcast,as185,27201-B2,8913 Southwick Dr,Austin,TX,78724,2.0,"1,203",2021-10-18,Single Family,1.662,0.39,2022-01-18 00:44:58.587340
63,2022-01-17,rentcast,as185,27201-B2,5808 Glowing Star Trl,Austin,TX,78724,2.0,"1,207",2022-01-11,Single Family,1.672,0.51,2022-01-18 00:44:58.587340
64,2022-01-17,rentcast,as185,27201-B2,9025 China Rose Dr,Austin,TX,78724,2.0,"1,203",2021-09-14,Single Family,1.662,0.49,2022-01-18 00:44:58.587340
65,2022-01-17,rentcast,as185,27201-B2,9217 Southwick Dr,Austin,TX,78724,2.0,"1,197",2021-11-28,Single Family,1.672,0.49,2022-01-18 00:44:58.587340
66,2022-01-17,rentcast,as185,27201-B2,5709 Levenwood Ln,Austin,TX,78724,2.0,"1,207",2021-06-27,Single Family,1.622,0.58,2022-01-18 00:44:58.587340
67,2022-01-17,rentcast,as185,27201-B2,5520 Toscana Ave,Austin,TX,78724,2.0,"1,289",2022-01-11,Single Family,1.472,0.98,2022-01-18 00:44:58.587340
68,2022-01-17,rentcast,as185,27201-B2,5912 Pinon Vista Dr,Austin,TX,78724,2.0,"1,230",2021-12-06,Single Family,1.952,1.09,2022-01-18 00:44:58.587340
69,2022-01-17,rentcast,as185,27201-B2,10709 Fm 969 Rd,Austin,TX,78724,2.5,"1,892",2021-10-27,Single Family,1.452,1.41,2022-01-18 00:44:58.587340
70,2022-01-17,rentcast,as185,27201-B2,5604 Pinon Vista Dr,Austin,TX,78724,2.0,"1,320",2021-09-09,Single Family,1.212,1.05,2022-01-18 00:44:58.587340
71,2022-01-17,rentcast,as185,27201-B2,5913 Alsace Trl,Austin,TX,78724,2.0,"1,306",2022-01-11,Single Family,1.302,1.14,2022-01-18 00:44:58.587340
72,2022-01-17,rentcast,as185,27201-B2,6016 Signal Pt,Austin,TX,78724,2.0,"1,320",2022-01-11,Single Family,1.292,1.17,2022-01-18 00:44:58.587340
73,2022-01-17,rentcast,as185,27201-B2,6025 Signal Pt,Austin,TX,78724,2.0,"1,320",2021-11-09,Single Family,1.282,1.18,2022-01-18 00:44:58.587340
74,2022-01-17,rentcast,as185,27201-B2,5513 Nelson Oaks Dr,Austin,TX,78724,2.0,"1,509",2021-08-15,Single Family,1.462,0.37,2022-01-18 00:44:58.587340
75,2022-01-17,rentcast,as185,27201-B2,6041 Signal Pt,Austin,TX,78724,2.0,"1,320",2021-10-27,Single Family,1.252,1.21,2022-01-18 00:44:58.587340
76,2022-01-17,rentcast,as185,27201-B2,5613 Nelson Oaks Dr,Austin,TX,78724,2.0,"1,509",2021-07-10,Single Family,1.462,0.39,2022-01-18 00:44:58.587340
77,2022-01-17,rentcast,as185,27201-B2,9305 Southwick Dr,Austin,TX,78724,2.0,"1,516",2021-10-23,Single Family,1.252,0.52,2022-01-18 00:44:58.587340
78,2022-01-17,rentcast,as185,27201-B2,5901 Nelson Oaks Dr,Austin,TX,78724,2.0,"1,532",2021-10-27,Single Family,1.262,0.54,2022-01-18 00:44:58.587340
79,2022-01-17,rentcast,as185,27201-B2,9000 Tall Sky Trce,Austin,TX,78724,2.0,"1,637",2021-12-17,Single Family,1.222,0.2,2022-01-18 00:44:58.587340
80,2022-01-17,rentcast,as163,as1631a1,"1004 W Whitestone Blvd, Unit 142944",Cedar,Park,TX,1.0,660,2021-09-19,Apartment,1.432,0.15,2022-01-18 00:44:58.587340
81,2022-01-17,rentcast,as163,as1631a1,"1004 W Whitestone Blvd, # 142944",Cedar,Park,TX,1.0,660,2021-06-30,Apartment,1.432,0.15,2022-01-18 00:44:58.587340
