,for_date,abbreviation,unit_type,address,city,state,zip_code,bedrooms,bathrooms,listing_date,sqft,price_sqft,distance,ingest_time
85,2022-01-17,as167,as1671a2,"1020 W Stassney Ln, Unit 165",Austin,TX,78745,1,708,2021-09-07,Apartment,1.922,0.07,2022-01-18 00:32:02.515641
86,2022-01-17,as167,as1671a2,1016 W Stassney Ln,Austin,TX,78745,1,,2022-01-16,Apartment,,0.03,2022-01-18 00:32:02.515641
87,2022-01-17,as167,as1671a2,"1005 W Stassney Ln, Unit 25203",Austin,TX,78745,1,,2022-01-16,Apartment,,0.1,2022-01-18 00:32:02.515641
88,2022-01-17,as167,as1671a2,"714 Turtle Creek Blvd, Unit 156",Austin,TX,78745,1,,2021-09-08,Apartment,,0.38,2022-01-18 00:32:02.515641
89,2022-01-17,as167,as1671a2,5816 S 1st St,Austin,TX,78745,1,,2021-09-12,Single Family,,0.36,2022-01-18 00:32:02.515641
90,2022-01-17,as167,as1671a2,1005 W Stassney Ln,Austin,TX,78745,1,650,2022-01-14,Condo,1.502,0.1,2022-01-18 00:32:02.515641
91,2022-01-17,as167,as1671a2,"5304 Saint Georges Grn, Apt A",Austin,TX,78745,1,840,2021-06-22,Apartment,1.192,0.59,2022-01-18 00:32:02.515641
92,2022-01-17,as167,as1671a2,"1005 W Stassney Ln, Unit 25202",Austin,TX,78745,1,,2022-01-16,Apartment,,0.1,2022-01-18 00:32:02.515641
93,2022-01-17,as167,as1671a2,"1005 W Stassney Ln, Unit 25201",Austin,TX,78745,1,,2022-01-16,Apartment,,0.1,2022-01-18 00:32:02.515641
94,2022-01-17,as167,as1671a2,811 Ramble Ln,Austin,TX,78745,1,,2021-06-30,Apartment,,0.15,2022-01-18 00:32:02.515641
95,2022-01-17,as167,as1671a2,"1018 W Stassney Ln, Unit 215",Austin,TX,78745,2,860,2021-09-08,Apartment,1.482,0.06,2022-01-18 00:32:02.515641
96,2022-01-17,as167,as1671a2,"1020 W Stassney Ln, Unit 222",Austin,TX,78745,2,860,2021-06-27,Apartment,1.542,0.06,2022-01-18 00:32:02.515641
97,2022-01-17,as167,as1671a2,5800 Emerald Forest Dr,Austin,TX,78745,1,,2021-12-15,Apartment,,0.24,2022-01-18 00:32:02.515641
98,2022-01-17,as167,as1671a2,6200 Soft Wind Cir,Austin,TX,78745,1,,2021-10-01,Apartment,,0.51,2022-01-18 00:32:02.515641
99,2022-01-17,as167,as1671a2,801 Sirocco Dr,Austin,TX,78745,1,,2021-06-27,Apartment,,0.51,2022-01-18 00:32:02.515641
100,2022-01-17,as167,as1671a2-U,"1016 W Stassney Ln, Apt 136",Austin,TX,78745,1,588,2021-09-08,Apartment,2.192,0.03,2022-01-18 00:32:02.515641
101,2022-01-17,as167,as1671a2-U,"1016 W Stassney Ln, Apt 122",Austin,TX,78745,1,588,2021-09-21,Apartment,2.302,0.03,2022-01-18 00:32:02.515641
102,2022-01-17,as167,as1671a2-U,"1016 W Stassney Ln, Apt 148",Austin,TX,78745,1,708,2021-09-14,Apartment,1.912,0.03,2022-01-18 00:32:02.515641
103,2022-01-17,as167,as1671a2-U,"1020 W Stassney Ln, Unit 248",Austin,TX,78745,1,708,2021-09-16,Apartment,2.062,0.06,2022-01-18 00:32:02.515641
104,2022-01-17,as167,as1671a2-U,"5807 S 1st St, Unit ATC11",Austin,TX,78745,1,670,2021-09-14,Apartment,1.772,0.39,2022-01-18 00:32:02.515641
105,2022-01-17,as167,as1671a2-U,"1020 W Stassney Ln, Unit 165",Austin,TX,78745,1,708,2021-09-07,Apartment,1.922,0.07,2022-01-18 00:32:02.515641
106,2022-01-17,as167,as1671a2-U,1016 W Stassney Ln,Austin,TX,78745,1,,2022-01-16,Apartment,,0.03,2022-01-18 00:32:02.515641
107,2022-01-17,as167,as1671a2-U,"1005 W Stassney Ln, Unit 25203",Austin,TX,78745,1,,2022-01-16,Apartment,,0.1,2022-01-18 00:32:02.515641
108,2022-01-17,as167,as1671a2-U,"714 Turtle Creek Blvd, Unit 156",Austin,TX,78745,1,,2021-09-08,Apartment,,0.38,2022-01-18 00:32:02.515641
109,2022-01-17,as167,as1671a2-U,5816 S 1st St,Austin,TX,78745,1,,2021-09-12,Single Family,,0.36,2022-01-18 00:32:02.515641
110,2022-01-17,as167,as1671a2-U,1005 W Stassney Ln,Austin,TX,78745,1,650,2022-01-14,Condo,1.502,0.1,2022-01-18 00:32:02.515641
111,2022-01-17,as167,as1671a2-U,"5304 Saint Georges Grn, Apt A",Austin,TX,78745,1,840,2021-06-22,Apartment,1.192,0.59,2022-01-18 00:32:02.515641
112,2022-01-17,as167,as1671a2-U,"1005 W Stassney Ln, Unit 25202",Austin,TX,78745,1,,2022-01-16,Apartment,,0.1,2022-01-18 00:32:02.515641
113,2022-01-17,as167,as1671a2-U,"1005 W Stassney Ln, Unit 25201",Austin,TX,78745,1,,2022-01-16,Apartment,,0.1,2022-01-18 00:32:02.515641
114,2022-01-17,as167,as1671a2-U,811 Ramble Ln,Austin,TX,78745,1,,2021-06-30,Apartment,,0.15,2022-01-18 00:32:02.515641
115,2022-01-17,as167,as1671a2-U,"1018 W Stassney Ln, Unit 215",Austin,TX,78745,2,860,2021-09-08,Apartment,1.482,0.06,2022-01-18 00:32:02.515641
116,2022-01-17,as167,as1671a2-U,"1020 W Stassney Ln, Unit 222",Austin,TX,78745,2,860,2021-06-27,Apartment,1.542,0.06,2022-01-18 00:32:02.515641
117,2022-01-17,as167,as1671a2-U,5800 Emerald Forest Dr,Austin,TX,78745,1,,2021-12-15,Apartment,,0.24,2022-01-18 00:32:02.515641
118,2022-01-17,as167,as1671a2-U,6200 Soft Wind Cir,Austin,TX,78745,1,,2021-10-01,Apartment,,0.51,2022-01-18 00:32:02.515641
119,2022-01-17,as167,as1671a2-U,801 Sirocco Dr,Austin,TX,78745,1,,2021-06-27,Apartment,,0.51,2022-01-18 00:32:02.515641
