,for_date,comp_id,data_source,abbreviation,unit_type,address,city,state,zip_code,bedrooms,bathrooms,listing_date,sqft,price_sqft,distance,ingest_time
39,2022-01-17,c7419c84-028a-4127-baba-1b4061c3f1b1,rentcast,as185,27201-A2,5808 Glowing Star Trl,Austin,TX,78724,2.0,"1,207",2022-01-11,Single Family,1.672,0.51,2022-01-18 04:29:17.242574
40,2022-01-17,ea3f1b38-9b3f-4d99-b9af-00b3e74288fd,rentcast,as185,27201-B1,"8403 Colony Loop Dr, Apt B",Austin,TX,78724,2.0,"1,020",2022-01-06,Single Family,1.132,1.32,2022-01-18 04:29:17.242574
41,2022-01-17,77d5cbf5-cfaf-4d5a-be53-7b78928570ea,rentcast,as185,27201-B1,4710 Little Hill Cir,Austin,TX,78725,2.0,"1,294",2021-06-22,Single Family,1.652,1.64,2022-01-18 04:29:17.242574
42,2022-01-17,6395408a-af3b-48c6-8905-0d29ce819af6,rentcast,as185,27201-B1,8913 Southwick Dr,Austin,TX,78724,2.0,"1,203",2021-10-18,Single Family,1.662,0.39,2022-01-18 04:29:17.242574
43,2022-01-17,e00150e8-216e-47df-acb7-13fd94427d8c,rentcast,as185,27201-B1,9217 Southwick Dr,Austin,TX,78724,2.0,"1,197",2021-11-28,Single Family,1.672,0.49,2022-01-18 04:29:17.242574
44,2022-01-17,48b20487-1a9b-4b18-b961-cfaf5994d053,rentcast,as185,27201-B1,9025 China Rose Dr,Austin,TX,78724,2.0,"1,203",2021-09-14,Single Family,1.662,0.49,2022-01-18 04:29:17.242574
45,2022-01-17,85c6bf6d-250a-4c3f-8451-43615c1aa6fb,rentcast,as185,27201-B1,5808 Glowing Star Trl,Austin,TX,78724,2.0,"1,207",2022-01-11,Single Family,1.672,0.51,2022-01-18 04:29:17.242574
46,2022-01-17,97e85dbd-3437-4fd4-8c80-d97fd425cc25,rentcast,as185,27201-B1,"5301 Decker Ln, Apt 9207",Austin,TX,78724,2.0,"1,108",2021-11-02,Condo,1.612,0.1,2022-01-18 04:29:17.242574
47,2022-01-17,0e5f5895-8896-4171-9f3d-f5961c19d981,rentcast,as185,27201-B1,8602 FM 969,Austin,TX,78724,2.0,"1,109",2021-09-16,Apartment,1.532,0.09,2022-01-18 04:29:17.242574
48,2022-01-17,72874efb-6c87-4c5f-bb9d-050f4008252b,rentcast,as185,27201-B1,5709 Levenwood Ln,Austin,TX,78724,2.0,"1,207",2021-06-27,Single Family,1.622,0.58,2022-01-18 04:29:17.242574
