,0,1,2,3,4,5,6,7,8,9,10
109,as163,as1631a2,"1018 Audra St
Cedar Park, TX 78613","$2,010
$1.73 /ft2","Jan 11, 2022
1 Day Ago",64.2%,0.21 mi,3,2,"1,165",Single Family
110,as163,as1631a2,"1006 Reynaldo St
Cedar Park, TX 78613","$1,555
$1.20 /ft2","Jan 2, 2022
10 Days Ago",62.6%,0.27 mi,3,2,"1,297",Single Family
111,as163,as1631a2,"1201 Brashear Ln
Cedar Park, TX 78613","$1,750
$1.30 /ft2","Nov 15, 2021
58 Days Ago",62.3%,0.23 mi,3,2,"1,343",Single Family
112,as163,as1631a2,"800 Lone Star Dr
Cedar Park, TX 78613","$1,900
$1.52 /ft2","Jun 19, 2021
207 Days Ago",62.2%,0.49 mi,3,2,"1,253",Single Family
113,as163,as1631a2,"1047 Silverstone Ln
Cedar Park, TX 78613","$1,850
$1.35 /ft2","Sep 13, 2021
121 Days Ago",62.1%,0.2 mi,3,2,"1,368",Single Family
114,as163,as1631a2,"2006 Coachlamp Dr
Cedar Park, TX 78613","$1,795
$1.52 /ft2","Dec 29, 2021
14 Days Ago",61.8%,0.88 mi,3,2,"1,180",Single Family
115,as163,as1631a2,"1101 Doris Ln
Cedar Park, TX 78613","$1,900
$1.44 /ft2","Jun 30, 2021
196 Days Ago",61.7%,0.47 mi,3,2,"1,316",Single Family
116,as163,as1631a2,"703 Blue Oak Cir
Cedar Park, TX 78613","$1,785
$1.37 /ft2","Jun 20, 2021
206 Days Ago",61.7%,0.52 mi,3,2,"1,303",Single Family
117,as163,as1631a2,"601 Doris Ln
Cedar Park, TX 78613","$1,325
$0.04 /ft2","Jan 11, 2022
1 Day Ago",61.4%,0.57 mi,1,1,"33,320",Apartment
118,as163,as1631a2,"1004 W Whitestone Blvd, Unit 142820
Cedar Park, TX 78613","$1,450
$1.26 /ft2","Sep 19, 2021
115 Days Ago",61.0%,0.15 mi,2,2,"1,150",Apartment
119,as163,as1631a2,"1004 W Whitestone Blvd, # 142820
Cedar Park, TX 78613","$1,450
$1.26 /ft2","Jun 30, 2021
196 Days Ago",61.0%,0.15 mi,2,2,"1,150",Apartment
120,as163,as1631a3,"1201 W Whitestone Crossing Cedar Park
Cedar Park, TX 78613","$1,000
$1.46 /ft2","Jun 30, 2021
196 Days Ago",81.4%,0.02 mi,1,1,687,Apartment
121,as163,as1631a3,"1210 W Whitestone Xing, Unit 232731-687
Austin, TX 78613","$1,195
$1.74 /ft2","Sep 18, 2021
116 Days Ago",81.3%,0.07 mi,1,1,687,Apartment
122,as163,as1631a3,"1004 W Whitestone Blvd, Unit 142944
Cedar Park, TX 78613","$945
$1.43 /ft2","Sep 19, 2021
115 Days Ago",80.2%,0.15 mi,1,1,660,Apartment
123,as163,as1631a3,"1004 W Whitestone Blvd, # 142944
Cedar Park, TX 78613","$945
$1.43 /ft2","Jun 30, 2021
196 Days Ago",80.2%,0.15 mi,1,1,660,Apartment
124,as163,as1631a3,"1201 W Whitestone Blvd
Cedar Park, TX 78613","$1,257
$1.23 /ft2","Jan 11, 2022
1 Day Ago",79.8%,0.02 mi,1,1.5,"1,024",Apartment
125,as163,as1631a3,"1210 W Whitestone Xing, Unit 232731-1024
Austin, TX 78613","$1,750
$1.71 /ft2","Sep 18, 2021
116 Days Ago",79.6%,0.07 mi,1,1.5,"1,024",Apartment
126,as163,as1631a3,"1507 Cedar Park Rd
Cedar Park, TX 78613","$853
$0.30 /ft2","Jan 11, 2022
1 Day Ago",67.8%,0.58 mi,1,1,"2,864",Apartment
127,as163,as1631a3,"1045 Silverstone Ln
Cedar Park, TX 78613","$2,000
$1.73 /ft2","Jun 19, 2021
207 Days Ago",67.7%,0.2 mi,3,2,"1,153",Single Family
128,as163,as1631a3,"1018 Audra St
Cedar Park, TX 78613","$2,010
$1.73 /ft2","Jan 11, 2022
1 Day Ago",67.5%,0.21 mi,3,2,"1,165",Single Family
129,as163,as1631a3,"1006 Reynaldo St
Cedar Park, TX 78613","$1,555
$1.20 /ft2","Jan 2, 2022
10 Days Ago",65.6%,0.27 mi,3,2,"1,297",Single Family
130,as163,as1631a3,"800 Lone Star Dr
Cedar Park, TX 78613","$1,900
$1.52 /ft2","Jun 19, 2021
207 Days Ago",65.3%,0.49 mi,3,2,"1,253",Single Family
131,as163,as1631a3,"1201 Brashear Ln
Cedar Park, TX 78613","$1,750
$1.30 /ft2","Nov 15, 2021
58 Days Ago",65.2%,0.23 mi,3,2,"1,343",Single Family
132,as163,as1631a3,"2006 Coachlamp Dr
Cedar Park, TX 78613","$1,795
$1.52 /ft2","Dec 29, 2021
14 Days Ago",65.1%,0.88 mi,3,2,"1,180",Single Family
