,abbreviation,unit-type,comp-address,similarity,beds,baths,sqft,type,monthly-rent,days-ago,price-sqft,dist
105,as163,as1631a2,"1210 W Whitestone Xing, Unit 232731-1024
Austin, TX 78613",75.80%,1,1.5,"1,024",Apartment,1750,116,1.712,0.07
106,as163,as1631a2,"1507 Cedar Park Rd
Cedar Park, TX 78613",66.50%,1,1,"2,864",Apartment,853,1,0.302,0.58
107,as163,as1631a2,"1301 W Whitestone Blvd
Cedar Park, TX 78613",64.60%,,,,Apartment,1086,1,,0.13
108,as163,as1631a2,"1045 Silverstone Ln
Cedar Park, TX 78613",64.30%,3,2,"1,153",Single Family,2000,207,1.732,0.2
109,as163,as1631a2,"1018 Audra St
Cedar Park, TX 78613",64.20%,3,2,"1,165",Single Family,2010,1,1.732,0.21
110,as163,as1631a2,"1006 Reynaldo St
Cedar Park, TX 78613",62.60%,3,2,"1,297",Single Family,1555,10,1.202,0.27
111,as163,as1631a2,"1201 Brashear Ln
Cedar Park, TX 78613",62.30%,3,2,"1,343",Single Family,1750,58,1.302,0.23
112,as163,as1631a2,"800 Lone Star Dr
Cedar Park, TX 78613",62.20%,3,2,"1,253",Single Family,1900,207,1.522,0.49
113,as163,as1631a2,"1047 Silverstone Ln
Cedar Park, TX 78613",62.10%,3,2,"1,368",Single Family,1850,121,1.352,0.2
114,as163,as1631a2,"2006 Coachlamp Dr
Cedar Park, TX 78613",61.80%,3,2,"1,180",Single Family,1795,14,1.522,0.88
115,as163,as1631a2,"1101 Doris Ln
Cedar Park, TX 78613",61.70%,3,2,"1,316",Single Family,1900,196,1.442,0.47
116,as163,as1631a2,"703 Blue Oak Cir
Cedar Park, TX 78613",61.70%,3,2,"1,303",Single Family,1785,206,1.372,0.52
117,as163,as1631a2,"601 Doris Ln
Cedar Park, TX 78613",61.40%,1,1,"33,320",Apartment,1325,1,0.042,0.57
118,as163,as1631a2,"1004 W Whitestone Blvd, Unit 142820
Cedar Park, TX 78613",61.00%,2,2,"1,150",Apartment,1450,115,1.262,0.15
119,as163,as1631a2,"1004 W Whitestone Blvd, # 142820
Cedar Park, TX 78613",61.00%,2,2,"1,150",Apartment,1450,196,1.262,0.15
120,as163,as1631a3,"1201 W Whitestone Crossing Cedar Park
Cedar Park, TX 78613",81.40%,1,1,687,Apartment,1000,196,1.462,0.02
121,as163,as1631a3,"1210 W Whitestone Xing, Unit 232731-687
Austin, TX 78613",81.30%,1,1,687,Apartment,1195,116,1.742,0.07
122,as163,as1631a3,"1004 W Whitestone Blvd, Unit 142944
Cedar Park, TX 78613",80.20%,1,1,660,Apartment,945,115,1.432,0.15
123,as163,as1631a3,"1004 W Whitestone Blvd, # 142944
Cedar Park, TX 78613",80.20%,1,1,660,Apartment,945,196,1.432,0.15
124,as163,as1631a3,"1201 W Whitestone Blvd
Cedar Park, TX 78613",79.80%,1,1.5,"1,024",Apartment,1257,1,1.232,0.02
125,as163,as1631a3,"1210 W Whitestone Xing, Unit 232731-1024
Austin, TX 78613",79.60%,1,1.5,"1,024",Apartment,1750,116,1.712,0.07
126,as163,as1631a3,"1507 Cedar Park Rd
Cedar Park, TX 78613",67.80%,1,1,"2,864",Apartment,853,1,0.302,0.58
127,as163,as1631a3,"1045 Silverstone Ln
Cedar Park, TX 78613",67.70%,3,2,"1,153",Single Family,2000,207,1.732,0.2
128,as163,as1631a3,"1018 Audra St
Cedar Park, TX 78613",67.50%,3,2,"1,165",Single Family,2010,1,1.732,0.21
129,as163,as1631a3,"1006 Reynaldo St
Cedar Park, TX 78613",65.60%,3,2,"1,297",Single Family,1555,10,1.202,0.27
130,as163,as1631a3,"800 Lone Star Dr
Cedar Park, TX 78613",65.30%,3,2,"1,253",Single Family,1900,207,1.522,0.49
131,as163,as1631a3,"1201 Brashear Ln
Cedar Park, TX 78613",65.20%,3,2,"1,343",Single Family,1750,58,1.302,0.23
132,as163,as1631a3,"2006 Coachlamp Dr
Cedar Park, TX 78613",65.10%,3,2,"1,180",Single Family,1795,14,1.522,0.88
133,as163,as1631a3,"1047 Silverstone Ln
Cedar Park, TX 78613",65.00%,3,2,"1,368",Single Family,1850,121,1.352,0.2
134,as163,as1631a3,"1301 W Whitestone Blvd
Cedar Park, TX 78613",64.60%,,,,Apartment,1086,1,,0.13
135,as163,as1631a3,"703 Blue Oak Cir
Cedar Park, TX 78613",64.60%,3,2,"1,303",Single Family,1785,206,1.372,0.52
136,as163,as1631a3,"1101 Doris Ln
Cedar Park, TX 78613",64.60%,3,2,"1,316",Single Family,1900,196,1.442,0.47
137,as163,as1631a3,"1004 W Whitestone Blvd, Unit 142820
Cedar Park, TX 78613",64.40%,2,2,"1,150",Apartment,1450,115,1.262,0.15
138,as163,as1631a3,"1004 W Whitestone Blvd, # 142820
Cedar Park, TX 78613",64.40%,2,2,"1,150",Apartment,1450,196,1.262,0.15
139,as163,as1631a3,"1813 Woodstone Ct
Cedar Park, TX 78613",63.90%,3,2,"1,296",Single Family,2100,154,1.622,0.78
140,as163,as1631b1,"1201 W Whitestone Blvd
Cedar Park, TX 78613",86.00%,1,1.5,"1,024",Apartment,1257,1,1.232,0.02
141,as163,as1631b1,"1210 W Whitestone Xing, Unit 232731-1024
Austin, TX 78613",85.80%,1,1.5,"1,024",Apartment,1750,116,1.712,0.07
142,as163,as1631b1,"1201 W Whitestone Crossing Cedar Park
Cedar Park, TX 78613",75.90%,1,1,687,Apartment,1000,196,1.462,0.02
143,as163,as1631b1,"1210 W Whitestone Xing, Unit 232731-687
Austin, TX 78613",75.80%,1,1,687,Apartment,1195,116,1.742,0.07
144,as163,as1631b1,"1004 W Whitestone Blvd, Unit 142944
Cedar Park, TX 78613",74.90%,1,1,660,Apartment,945,115,1.432,0.15
145,as163,as1631b1,"1004 W Whitestone Blvd, # 142944
Cedar Park, TX 78613",74.90%,1,1,660,Apartment,945,196,1.432,0.15
146,as163,as1631b1,"1045 Silverstone Ln
Cedar Park, TX 78613",73.40%,3,2,"1,153",Single Family,2000,207,1.732,0.2
147,as163,as1631b1,"1018 Audra St
Cedar Park, TX 78613",73.20%,3,2,"1,165",Single Family,2010,1,1.732,0.21
148,as163,as1631b1,"1006 Reynaldo St
Cedar Park, TX 78613",71.00%,3,2,"1,297",Single Family,1555,10,1.202,0.27
149,as163,as1631b1,"800 Lone Star Dr
Cedar Park, TX 78613",70.80%,3,2,"1,253",Single Family,1900,207,1.522,0.49
150,as163,as1631b1,"2006 Coachlamp Dr
Cedar Park, TX 78613",70.80%,3,2,"1,180",Single Family,1795,14,1.522,0.88
151,as163,as1631b1,"1201 Brashear Ln
Cedar Park, TX 78613",70.50%,3,2,"1,343",Single Family,1750,58,1.302,0.23
152,as163,as1631b1,"1047 Silverstone Ln
Cedar Park, TX 78613",70.20%,3,2,"1,368",Single Family,1850,121,1.352,0.2
153,as163,as1631b1,"1004 W Whitestone Blvd, Unit 142820
Cedar Park, TX 78613",70.20%,2,2,"1,150",Apartment,1450,115,1.262,0.15
154,as163,as1631b1,"1004 W Whitestone Blvd, # 142820
Cedar Park, TX 78613",70.10%,2,2,"1,150",Apartment,1450,196,1.262,0.15
155,as163,as1631b1,"703 Blue Oak Cir
Cedar Park, TX 78613",70.00%,3,2,"1,303",Single Family,1785,206,1.372,0.52
156,as163,as1631b1,"1101 Doris Ln
Cedar Park, TX 78613",70.00%,3,2,"1,316",Single Family,1900,196,1.442,0.47
157,as163,as1631b1,"1813 Woodstone Ct
Cedar Park, TX 78613",69.30%,3,2,"1,296",Single Family,2100,154,1.622,0.78
158,as163,as1631b1,"202 Fawnfield Dr
Cedar Park, TX 78613",69.20%,3,2,"1,243",Single Family,2100,192,1.692,1.01
159,as163,as1631b1,"1806 Oakmont Ln
Cedar Park, TX 78613",69.20%,3,2,"1,323",Single Family,1995,208,1.512,0.68
160,as163,as1632d1,"1045 Silverstone Ln
Cedar Park, TX 78613",86.40%,3,2,"1,153",Single Family,2000,207,1.732,0.2
161,as163,as1632d1,"1018 Audra St
Cedar Park, TX 78613",86.20%,3,2,"1,165",Single Family,2010,1,1.732,0.21
162,as163,as1632d1,"1210 W Whitestone Xing, Unit 232731-1150
Austin, TX 78613",85.80%,2,2.5,"1,150",Apartment,1900,116,1.652,0.07
163,as163,as1632d1,"2006 Coachlamp Dr
Cedar Park, TX 78613",83.70%,3,2,"1,180",Single Family,1795,14,1.522,0.88
164,as163,as1632d1,"1006 Reynaldo St
Cedar Park, TX 78613",83.70%,3,2,"1,297",Single Family,1555,10,1.202,0.27
165,as163,as1632d1,"800 Lone Star Dr
Cedar Park, TX 78613",83.60%,3,2,"1,253",Single Family,1900,207,1.522,0.49
166,as163,as1632d1,"1004 W Whitestone Blvd, Unit 142820
Cedar Park, TX 78613",83.20%,2,2,"1,150",Apartment,1450,115,1.262,0.15
167,as163,as1632d1,"1004 W Whitestone Blvd, # 142820
Cedar Park, TX 78613",83.10%,2,2,"1,150",Apartment,1450,196,1.262,0.15
168,as163,as1632d1,"1201 Brashear Ln
Cedar Park, TX 78613",83.10%,3,2,"1,343",Single Family,1750,58,1.302,0.23
