,abbreviation,unit-type,comp-address,similarity,beds,baths,sqft,type,monthly-rent,days-ago,price-sqft,dist
408,as168,as1681a1,"8210 Bent Tree Rd, Apt 153
Austin, TX 78759",78.30%,1,1,635,Condo,1095,207,1.722,0.63
409,as168,as1681a1,"3605 Steck Ave, Unit 111
Austin, TX 78759",77.60%,1,1,670,Apartment,1152,196,1.722,0.55
410,as168,as1681a1,"3605 Steck Ave, Unit 112
Austin, TX 78759",77.10%,1,1,690,Apartment,1062,196,1.542,0.55
411,as168,as1681a1,"4417 Spicewood Springs Rd, Unit 1402
Austin, TX 78759",76.90%,1,1,744,Apartment,1337,118,1.802,0.28
412,as168,as1681a1,"8100 N Mopac Expy, # 06-128
Austin, TX 78759",76.30%,1,1,702,Apartment,999,62,1.422,0.74
413,as168,as1681a1,"8106 N Mopac Expy, Unit 782
Austin, TX 78759",76.00%,1,1,702,Apartment,969,118,1.382,0.8
414,as168,as1681a1,"8100 N Mopac Expy, # 02-108
Austin, TX 78759",75.30%,1,1,750,Apartment,1089,74,1.452,0.74
415,as168,as1681a1,"4021 Steck Ave
Austin, TX 78759",74.30%,1,1,,Apartment,1330,1,,0.03
416,as168,as1681a1,"4711 Spicewood Springs Rd, Unit 2-211
Austin, TX 78759",74.30%,1,1,831,Condo,1850,182,2.232,0.58
417,as168,as1681a1,"8309 Bradford Edward Cv, Unit A
Austin, TX 78759",74.00%,2,1.5,"1,000",Multi-Family,1800,101,1.802,0.32
418,as168,as1681a1,"7630 Wood Hollow Dr, Apt 134
Austin, TX 78731",73.80%,1,1,818,Apartment,1259,3,1.542,0.82
419,as168,as1681a1,"8100 N Mopac Expy
Austin, TX 78759",72.00%,1,1,,Apartment,1329,12,,0.74
420,as168,as1681a1-R,"3605 Steck Ave, Apt 1116
Austin, TX 78759",81.00%,1,1,560,Apartment,1167,42,2.082,0.55
421,as168,as1681a1-R,"7630 Wood Hollow Dr, Apt 251
Austin, TX 78731",80.50%,1,1,422,Apartment,930,26,2.202,0.82
422,as168,as1681a1-R,"7630 Wood Hollow Dr, Apt 280
Austin, TX 78731",80.40%,1,1,550,Apartment,1240,3,2.252,0.82
423,as168,as1681a1-R,"7630 Wood Hollow Dr, Apt 286
Austin, TX 78731",80.40%,1,1,550,Apartment,1178,3,2.142,0.82
424,as168,as1681a1-R,"7630 Wood Hollow Dr, Apt 283
Austin, TX 78731",80.40%,1,1,550,Apartment,1178,3,2.142,0.82
425,as168,as1681a1-R,"7630 Wood Hollow Dr, Apt 383
Austin, TX 78731",80.40%,1,1,550,Apartment,1240,3,2.252,0.82
426,as168,as1681a1-R,"Unnamed Rd, Unit 114
Austin, TX 78759",79.60%,1,1,629,Apartment,1284,118,2.042,0.29
427,as168,as1681a1-R,"4027 Steck Ave, Unit 1412
Austin, TX 78759",79.40%,1,1,663,Apartment,1150,118,1.732,0.08
428,as168,as1681a1-R,"8210 Bent Tree Rd, Apt 153
Austin, TX 78759",78.30%,1,1,635,Condo,1095,207,1.722,0.63
429,as168,as1681a1-R,"3605 Steck Ave, Unit 111
Austin, TX 78759",77.60%,1,1,670,Apartment,1152,196,1.722,0.55
430,as168,as1681a1-R,"3605 Steck Ave, Unit 112
Austin, TX 78759",77.10%,1,1,690,Apartment,1062,196,1.542,0.55
431,as168,as1681a1-R,"4417 Spicewood Springs Rd, Unit 1402
Austin, TX 78759",76.90%,1,1,744,Apartment,1337,118,1.802,0.28
432,as168,as1681a1-R,"8100 N Mopac Expy, # 06-128
Austin, TX 78759",76.30%,1,1,702,Apartment,999,62,1.422,0.74
433,as168,as1681a1-R,"8106 N Mopac Expy, Unit 782
Austin, TX 78759",76.00%,1,1,702,Apartment,969,118,1.382,0.8
434,as168,as1681a1-R,"8100 N Mopac Expy, # 02-108
Austin, TX 78759",75.30%,1,1,750,Apartment,1089,74,1.452,0.74
435,as168,as1681a1-R,"4021 Steck Ave
Austin, TX 78759",74.30%,1,1,,Apartment,1330,1,,0.03
436,as168,as1681a1-R,"4711 Spicewood Springs Rd, Unit 2-211
Austin, TX 78759",74.30%,1,1,831,Condo,1850,182,2.232,0.58
437,as168,as1681a1-R,"8309 Bradford Edward Cv, Unit A
Austin, TX 78759",74.00%,2,1.5,"1,000",Multi-Family,1800,101,1.802,0.32
438,as168,as1681a1-R,"7630 Wood Hollow Dr, Apt 134
Austin, TX 78731",73.80%,1,1,818,Apartment,1259,3,1.542,0.82
439,as168,as1681a1-R,"8100 N Mopac Expy
Austin, TX 78759",72.00%,1,1,,Apartment,1329,12,,0.74
440,as168,as1681a2,"Unnamed Rd, Unit 114
Austin, TX 78759",84.40%,1,1,629,Apartment,1284,118,2.042,0.29
441,as168,as1681a2,"4027 Steck Ave, Unit 1412
Austin, TX 78759",83.90%,1,1,663,Apartment,1150,118,1.732,0.08
442,as168,as1681a2,"8210 Bent Tree Rd, Apt 153
Austin, TX 78759",83.00%,1,1,635,Condo,1095,207,1.722,0.63
443,as168,as1681a2,"3605 Steck Ave, Apt 1116
Austin, TX 78759",82.30%,1,1,560,Apartment,1167,42,2.082,0.55
444,as168,as1681a2,"3605 Steck Ave, Unit 111
Austin, TX 78759",82.10%,1,1,670,Apartment,1152,196,1.722,0.55
445,as168,as1681a2,"3605 Steck Ave, Unit 112
Austin, TX 78759",81.50%,1,1,690,Apartment,1062,196,1.542,0.55
446,as168,as1681a2,"7630 Wood Hollow Dr, Apt 280
Austin, TX 78731",81.00%,1,1,550,Apartment,1240,3,2.252,0.82
447,as168,as1681a2,"7630 Wood Hollow Dr, Apt 286
Austin, TX 78731",81.00%,1,1,550,Apartment,1178,3,2.142,0.82
448,as168,as1681a2,"7630 Wood Hollow Dr, Apt 283
Austin, TX 78731",81.00%,1,1,550,Apartment,1178,3,2.142,0.82
449,as168,as1681a2,"7630 Wood Hollow Dr, Apt 383
Austin, TX 78731",81.00%,1,1,550,Apartment,1240,3,2.252,0.82
450,as168,as1681a2,"4417 Spicewood Springs Rd, Unit 1402
Austin, TX 78759",80.90%,1,1,744,Apartment,1337,118,1.802,0.28
451,as168,as1681a2,"8100 N Mopac Expy, # 06-128
Austin, TX 78759",80.60%,1,1,702,Apartment,999,62,1.422,0.74
452,as168,as1681a2,"8106 N Mopac Expy, Unit 782
Austin, TX 78759",80.30%,1,1,702,Apartment,969,118,1.382,0.8
453,as168,as1681a2,"8100 N Mopac Expy, # 02-108
Austin, TX 78759",79.30%,1,1,750,Apartment,1089,74,1.452,0.74
454,as168,as1681a2,"4711 Spicewood Springs Rd, Unit 2-211
Austin, TX 78759",77.90%,1,1,831,Condo,1850,182,2.232,0.58
455,as168,as1681a2,"7630 Wood Hollow Dr, Apt 134
Austin, TX 78731",77.40%,1,1,818,Apartment,1259,3,1.542,0.82
456,as168,as1681a2,"8309 Bradford Edward Cv, Unit A
Austin, TX 78759",77.10%,2,1.5,"1,000",Multi-Family,1800,101,1.802,0.32
457,as168,as1681a2,"7630 Wood Hollow Dr, Apt 251
Austin, TX 78731",76.10%,1,1,422,Apartment,930,26,2.202,0.82
458,as168,as1681a2,"4021 Steck Ave
Austin, TX 78759",74.30%,1,1,,Apartment,1330,1,,0.03
459,as168,as1681a2,"8112 Sonnet Ave, Apt 102
Austin, TX 78759",74.20%,2,1.5,"1,147",Multi-Family,1330,79,1.162,0.65
460,as168,as1681a2-R,"Unnamed Rd, Unit 114
Austin, TX 78759",84.40%,1,1,629,Apartment,1284,118,2.042,0.29
461,as168,as1681a2-R,"4027 Steck Ave, Unit 1412
Austin, TX 78759",83.90%,1,1,663,Apartment,1150,118,1.732,0.08
462,as168,as1681a2-R,"8210 Bent Tree Rd, Apt 153
Austin, TX 78759",83.00%,1,1,635,Condo,1095,207,1.722,0.63
463,as168,as1681a2-R,"3605 Steck Ave, Apt 1116
Austin, TX 78759",82.30%,1,1,560,Apartment,1167,42,2.082,0.55
464,as168,as1681a2-R,"3605 Steck Ave, Unit 111
Austin, TX 78759",82.10%,1,1,670,Apartment,1152,196,1.722,0.55
465,as168,as1681a2-R,"3605 Steck Ave, Unit 112
Austin, TX 78759",81.50%,1,1,690,Apartment,1062,196,1.542,0.55
466,as168,as1681a2-R,"7630 Wood Hollow Dr, Apt 280
Austin, TX 78731",81.00%,1,1,550,Apartment,1240,3,2.252,0.82
467,as168,as1681a2-R,"7630 Wood Hollow Dr, Apt 286
Austin, TX 78731",81.00%,1,1,550,Apartment,1178,3,2.142,0.82
468,as168,as1681a2-R,"7630 Wood Hollow Dr, Apt 283
Austin, TX 78731",81.00%,1,1,550,Apartment,1178,3,2.142,0.82
469,as168,as1681a2-R,"7630 Wood Hollow Dr, Apt 383
Austin, TX 78731",81.00%,1,1,550,Apartment,1240,3,2.252,0.82
